Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Ben McLemore (17225553),Ben McLemore,17225553,SG/SF/F/G/UTIL,3500,LAL@DAL 04/24/2021 08:30PM ET,LAL,12.99
SF/PF,Andre Iguodala (17225545),Andre Iguodala,17225545,SF/PF/F/UTIL,3500,CHI@MIA 04/24/2021 08:00PM ET,MIA,15.66
PF,Jaden McDaniels (17225542),Jaden McDaniels,17225542,PF/F/UTIL,3500,MIN@UTA 04/24/2021 09:00PM ET,MIN,16.12
PF,Juancho Hernangomez (17225558),Juancho Hernangomez,17225558,PF/F/UTIL,3500,MIN@UTA 04/24/2021 09:00PM ET,MIN,13.91
C,Jaxson Hayes (17225540),Jaxson Hayes,17225540,C/UTIL,3500,SA@NO 04/24/2021 08:00PM ET,NO,13.35
PG/SG,Patty Mills (17225561),Patty Mills,17225561,PG/SG/G/UTIL,3500,SA@NO 04/24/2021 08:00PM ET,SA,19.59
PF/C,Paul Millsap (17225549),Paul Millsap,17225549,PF/C/F/UTIL,3500,HOU@DEN 04/24/2021 10:00PM ET,DEN,20.59
PF/C,Tyler Cook (17225581),Tyler Cook,17225581,PF/C/F/UTIL,3400,DET@IND 04/24/2021 07:00PM ET,DET,7.75
PG,Saben Lee (17225585),Saben Lee,17225585,PG/G/UTIL,3400,DET@IND 04/24/2021 07:00PM ET,DET,14.49
PF,Georges Niang (17225578),Georges Niang,17225578,PF/F/UTIL,3400,MIN@UTA 04/24/2021 09:00PM ET,UTA,11.20
PG/SG,Kira Lewis Jr. (17225570),Kira Lewis Jr.,17225570,PG/SG/G/UTIL,3400,SA@NO 04/24/2021 08:00PM ET,NO,13.32
SG/SF,Avery Bradley (17225565),Avery Bradley,17225565,SG/SF/F/G/UTIL,3400,HOU@DEN 04/24/2021 10:00PM ET,HOU,13.95
C,Dwight Powell (17225604),Dwight Powell,17225604,C/UTIL,3300,LAL@DAL 04/24/2021 08:30PM ET,DAL,11.88
SF/PF,KZ Okpala (17225592),KZ Okpala,17225592,SF/PF/F/UTIL,3300,CHI@MIA 04/24/2021 08:00PM ET,MIA,6.73
