slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
walkelo01,Lonnie Walker,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1187,5,8,2,3,1,1,1,2,0,0,1,1,2,9.6
youngth01,Thaddeus Young,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1224,4,7,0,0,1,2,2,6,3,1,2,3,1,9.6
plumlma01,Mason Plumlee,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1631,6,10,0,0,0,0,3,2,3,0,0,2,2,9.4
satorto01,Tomáš Satoranský,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1553,4,7,0,2,2,3,0,0,6,0,1,1,2,9.4
willilo02,Lou Williams,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,1730,5,11,3,5,0,0,0,1,4,0,0,1,0,9.4
watanyu01,Yuta Watanabe,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,935,3,5,2,4,0,0,0,3,1,3,0,1,0,9.3
anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1600,5,16,0,6,2,2,1,6,5,1,1,1,1,9.1
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,914,4,4,0,0,1,1,0,1,0,1,0,0,0,9.1
bitadgo01,Goga Bitadze,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,1101,2,7,1,4,2,2,2,4,1,0,5,0,2,8.9
gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,1863,2,5,1,3,2,2,2,5,2,0,1,0,1,8.9
bacondw01,Dwayne Bacon,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1612,1,5,1,2,4,4,0,6,2,2,0,0,1,8.7
whitede01,Derrick White,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1971,3,8,1,3,2,2,1,3,1,2,2,0,4,8.7
hillso01,Solomon Hill,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,2261,3,8,2,5,0,0,0,7,2,2,1,0,3,8.6
iguodan01,Andre Iguodala,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1513,3,5,3,5,0,0,1,3,1,0,0,0,1,8.6
mcderdo01,Doug McDermott,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,1147,6,10,1,3,0,0,2,2,2,0,0,3,1,8.4
holidju01,Justin Holiday,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,1619,2,6,1,4,0,0,1,4,5,2,1,1,1,8.3
mccontj01,T.J. McConnell,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,1405,5,6,0,0,0,0,1,4,4,0,0,3,3,8.3
stewais01,Isaiah Stewart,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1249,3,3,1,1,0,0,2,4,2,0,0,1,2,8.3
washipj01,P.J. Washington,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1427,3,7,2,5,0,0,1,1,3,1,1,0,2,8.3
hernawi01,Willy Hernangómez,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,689,3,6,0,0,0,0,5,2,0,1,0,0,0,8.1
johnsja01,James Johnson,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,1960,4,8,0,2,1,1,1,4,4,2,0,2,4,8.1
mcdanja01,Jalen McDaniels,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,1739,4,7,1,2,0,0,0,3,2,1,1,0,4,8.1
covinro01,Robert Covington,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1939,3,10,0,5,3,4,0,5,4,1,1,0,2,8.0
antetth01,Thanasis Antetokounmpo,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1240,3,5,0,0,1,1,2,3,1,0,2,0,3,7.9
markkla01,Lauri Markkanen,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1127,3,4,2,3,0,1,1,1,1,0,0,0,0,7.7
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1332,2,5,2,5,0,0,0,4,4,2,0,1,2,7.5
rondora01,Rajon Rondo,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,1241,4,7,2,5,0,0,0,0,6,0,0,3,1,7.5
bullore01,Reggie Bullock,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1642,4,11,2,8,0,0,0,3,0,4,0,1,1,7.4
nworajo01,Jordan Nwora,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1203,5,12,1,5,0,0,1,2,1,1,2,1,2,7.2
tillmxa01,Xavier Tillman,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,LOSS,855,3,5,0,1,0,0,0,5,1,1,1,0,1,7.2
